15 0.0157965984
16 0.0350419032
17 0.0413599986
18 0.0465548166
19 0.0511104816
20 0.053552862
21 0.0554866398
22 0.0582363576
23 0.059346036
24 0.0600015078
25 0.0600042276
26 0.0607712112
27 0.059726808
28 0.0591311718
29 0.0577631124
30 0.0558483732
31 0.0542708892
32 0.0551548242
33 0.049785939
34 0.0471722112
35 0.0437534226
36 0.0406528506
37 0.0372775788
38 0.033562332
39 0.0303176106
40 0.0271327248
41 0.0234229176
42 0.0197783856
43 0.0168518808
44 0.0143415054
45 0.011627145
46 0.0093261942
47 0.0075556044
48 0.0056544642
49 0.002529414
